id,full_title,age,view_count,like_count,dislike_count,comment_count,artists
1341,Tsedi - Maneh | ማነህ - New Ethiopian Music 2018 (Official Video),469,2613631,7706,492,869,TSEDI
1342,Gedion Daniel - Bewedat | ብወዳት - New Ethiopian Music 2017 (Official Video),724,937830,6275,293,1294,GEDION DANIEL
1343,Hilina Manyazewal - Bematebu Lidagn - New Ethiopian Music 2016 (Official Video),1367,107280,219,69,130,HILINA MANYAZEWAL
1344,Tewodros Kassahun - Dumba | ዱምባ - New Ethiopian Music 2017 (Official Video),737,534909,1472,263,395,TEWODROS KASSAHUN
1345,Yeneta ft Ben X Jordan & Bek Geez - Yachat | ያቻት - New Ethiopian Music 2019 (Official Video),179,26555,265,19,65,YENETA
1346,Yeneta ft Ben X Jordan & Bek Geez - Yachat | ያቻት - New Ethiopian Music 2019 (Official Video),179,26555,265,19,65,BEN X JORDAN
1347,Yeneta ft Ben X Jordan & Bek Geez - Yachat | ያቻት - New Ethiopian Music 2019 (Official Video),179,26555,265,19,65,BEK GEEZ
1348,Ashenafi Legesse - Weyneye - New Ethiopian Music 2016 (Official Video),1302,549236,1471,191,380,ASHENAFI LEGESSE
1349,Tesfaye Belay - Wudye | ውድዬ - New Ethiopian Music 2019 (Official Video),83,18490,241,25,64,TESFAYE BELAY
1350,Dawit Alemayehu - Ethiopiaye | ኢትዮዽያዬ - New Ethiopian Music 2017 (Official Video),948,3187901,11238,1384,1998,DAWIT ALEMAYEHU
1351,Sasahulish Berga - Alaminishim - New Ethiopian Music (Official Video),1382,2444504,4664,865,735,SASAHULISH BERGA
1352,Alex ft. Ella Man & Teddy Yo - Wegebua | ወገቧ - New Ethiopian Music 2018 (Official Video),617,454163,2616,360,439,ALEX
1353,Alex ft. Ella Man & Teddy Yo - Wegebua | ወገቧ - New Ethiopian Music 2018 (Official Video),617,454163,2616,360,439,ELLA MAN
1354,Alex ft. Ella Man & Teddy Yo - Wegebua | ወገቧ - New Ethiopian Music 2018 (Official Video),617,454163,2616,360,439,TEDDY YO
1355,Aklilu Mulat ft Abel Andualem - Mame - New Ethiopian Music 2015 (Official Music Video),1471,9105,19,8,3,AKLILU MULAT
1356,Aklilu Mulat ft Abel Andualem - Mame - New Ethiopian Music 2015 (Official Music Video),1471,9105,19,8,3,ABEL ANDUALEM
1357,Eyerusalem Ashebir - Sitamregn | ስታምረኝ - New Ethiopian Music 2018 (Official Video),611,241732,1258,150,426,EYERUSALEM ASHEBIR
1358,Gezae Fitwi - Kem Tmnitey | ከም ትምንተይ - New Ethiopian Music 2018 (Official Video),538,55192,764,44,168,GEZAE FITWI
1359,Gedena Aynekul - Mubah | ሙባሕ - New Ethiopian Music 2017 (Official Video),881,292886,1348,150,377,GEDENA AYNEKUL
1360,Bisrat Surafel ft. Jah Lude - Afalgugn | አፋልጉኝ - New Ethiopian Music 2018 (Official Audio),537,161726,621,27,58,BISRAT SURAFEL
1361,Bisrat Surafel ft. Jah Lude - Afalgugn | አፋልጉኝ - New Ethiopian Music 2018 (Official Audio),537,161726,621,27,58,JAH LUDE
1362,Adera Tigabu - Shibere | ሽብሬ - New Ethiopian Music 2019 (Official Video),75,39137,475,35,93,ADERA TIGABU
1363,Ittiiqaa Tafarii - Tolen Jedhu - New Ethiopian Oromo Music 2018 (Official Video),401,275674,2364,212,590,ITTIIQAA TAFARII
1364,Ras Yidne - Tiyake Alegn | ጥያቄ አለኝ - New Ethiopian Music 2019 (Official Video),36,21825,356,38,75,RAS YIDNE
1365,Teddy Yo - Esregna | እስረኛ -  New Ethiopian Music 2018 (Official Audio W/Lyrics),598,114191,1127,47,115,TEDDY YO
1366,Yonas Afera ft. Solomon Yikunoamlak & Wedi Fitaw - Asadu - New Ethiopian Tigrigna Music 2018,440,63267,748,107,154,YONAS AFERA
1367,Yonas Afera ft. Solomon Yikunoamlak & Wedi Fitaw - Asadu - New Ethiopian Tigrigna Music 2018,440,63267,748,107,154,SOLOMON YIKUNOAMLAK
1368,Yonas Afera ft. Solomon Yikunoamlak & Wedi Fitaw - Asadu - New Ethiopian Tigrigna Music 2018,440,63267,748,107,154,WEDI FITAW
1369,Lij Yared - Endemude | እንደሙዴ - New Ethiopian Music 2017 (Official Video),684,138563,1575,156,352,LIJ YARED
1370,Yidnekachew Tsegaye (Yidu) -  Fikote | ፊቆቴ - New Ethiopian Music (Official Video),1075,100360,357,54,213,YIDNEKACHEW TSEGAYE
1371,Fetilework Tesfaye - Yene Fikir | የኔ ፍቅር - New Ethiopian Music 2018 (Official Video),318,55654,301,35,88,FETILEWORK TESFAYE
1372,Eshetu Mersha - Moyzerye | ሞይዘርዬ - New Ethiopian Music 2018 (Official Video),609,269523,1140,131,420,ESHETU MERSHA
1373,Mesay Tilahun - Addis Amet Ena Tesfa | አዲስ አመት እና ተስፋ  - New Ethiopian Music 2019 (Official Video),55,38644,459,25,78,MESAY TILAHUN
1374,Mikal J.  - Anes Wesine - New Ethiopian Music 2019 (Official Video),46,28216,302,160,135,MIKAL J.
